"","couponID","nUser","nUserUsed","nUserTwiceorMore","nUserNotUsed"
"29","cpn1036",1,0,0,1
"30","cpn1038",2,2,0,0
"31","cpn1039",3,0,0,3
"32","cpn1040",1,1,0,0
"33","cpn1047",3,1,0,2
"34","cpn1048",1,0,0,1
"35","cpn1049",3,1,0,2
"37","cpn1050",3,0,0,3
"38","cpn1051",2,0,0,2
"39","cpn1052",1,0,0,1
"40","cpn1055",1,0,0,1
"41","cpn1056",2,1,0,1
"43","cpn1061",9,3,0,6
"44","cpn1062",2,0,0,2
"45","cpn1063",4,0,0,4
"46","cpn1064",2,0,0,2
"47","cpn1065",1,0,0,1
"48","cpn1068",1,0,0,1
"49","cpn1069",1,0,0,1
"51","cpn1072",8,1,0,7
"52","cpn1073",1,0,0,1
"53","cpn1074",1,0,0,1
"54","cpn1075",3,0,0,3
"55","cpn1076",2,1,0,1
"56","cpn1077",1,0,0,1
"57","cpn1078",1,0,0,1
"58","cpn1079",2,0,0,2
"60","cpn1080",3,1,0,2
"61","cpn1081",1,0,0,1
"62","cpn1082",7,1,0,6
"63","cpn1083",1,0,0,1
"64","cpn1085",6,2,0,4
"65","cpn1086",1,0,0,1
"66","cpn1087",1,1,0,0
"67","cpn1088",4,0,0,4
"68","cpn1089",1,1,0,0
"70","cpn1093",2,0,0,2
"71","cpn1094",1,0,0,1
"72","cpn1095",2,0,0,2
"73","cpn1097",3,0,0,3
"74","cpn1099",1,0,0,1
"77","cpn1101",3,0,0,3
"78","cpn1102",1,0,0,1
"79","cpn1103",3,1,0,2
"80","cpn1104",1,0,0,1
"81","cpn1105",3,0,0,3
"82","cpn1106",1,0,0,1
"83","cpn1107",3,0,0,3
"84","cpn1108",2,1,0,1
"85","cpn1109",2,1,0,1
"87","cpn1110",5,1,0,4
"88","cpn1111",3,1,0,2
"89","cpn1113",3,0,0,3
"90","cpn1114",3,0,0,3
"91","cpn1115",6,0,0,6
"92","cpn1118",1,0,0,1
"93","cpn1119",6,2,0,4
"95","cpn1120",2,0,0,2
"96","cpn1123",4,0,0,4
"97","cpn1124",13,1,0,12
"98","cpn1125",4,0,0,4
"99","cpn1126",1,0,0,1
"100","cpn1127",1,0,0,1
"101","cpn1128",4,0,0,4
"102","cpn1129",1,0,0,1
"104","cpn1131",1,0,0,1
"105","cpn1132",1,0,0,1
"106","cpn1133",1,0,0,1
"107","cpn1134",2,1,0,1
"108","cpn1135",1,0,0,1
"109","cpn1136",2,0,0,2
"110","cpn1137",8,2,0,6
"111","cpn1138",1,0,0,1
"112","cpn1139",2,0,0,2
"114","cpn1140",2,1,0,1
"115","cpn1141",4,2,0,2
"116","cpn1142",2,0,0,2
"117","cpn1143",2,1,0,1
"118","cpn1144",1,0,0,1
"119","cpn1145",1,0,0,1
"120","cpn1146",2,0,0,2
"121","cpn1147",1,0,0,1
"122","cpn1148",3,0,0,3
"123","cpn1149",1,0,0,1
"124","cpn1150",1,1,0,0
"125","cpn1151",1,1,0,0
"126","cpn1154",1,1,0,0
"127","cpn1155",1,1,0,0
"128","cpn1156",3,0,0,3
"129","cpn1157",6,3,0,3
"130","cpn1158",4,0,0,4
"131","cpn1159",3,0,0,3
"133","cpn1160",5,3,0,2
"134","cpn1161",2,0,0,2
"135","cpn1162",1,0,0,1
"136","cpn1163",1,0,0,1
"137","cpn1164",1,0,0,1
"138","cpn1165",1,1,0,0
"139","cpn1170",2,0,0,2
"140","cpn1171",1,0,0,1
"141","cpn1174",4,0,0,4
"142","cpn1175",2,0,0,2
"143","cpn1176",1,1,0,0
"144","cpn1178",1,0,0,1
"146","cpn1180",1,0,0,1
"147","cpn1181",3,0,0,3
"148","cpn1182",4,0,0,4
"149","cpn1183",4,1,0,3
"150","cpn1184",1,1,0,0
"151","cpn1186",2,0,0,2
"152","cpn1187",2,0,0,2
"153","cpn1188",1,0,0,1
"155","cpn1190",2,1,0,1
"156","cpn1191",2,0,0,2
"157","cpn1192",1,0,0,1
"158","cpn1193",2,0,0,2
"159","cpn1194",1,1,0,0
"160","cpn1197",3,3,0,0
"161","cpn1199",1,0,0,1
"164","cpn1201",10,2,0,8
"165","cpn1202",2,1,0,1
"166","cpn1203",2,0,0,2
"167","cpn1204",5,0,0,5
"168","cpn1205",1,1,0,0
"169","cpn1206",2,1,0,1
"170","cpn1207",4,1,0,3
"171","cpn1209",1,0,0,1
"173","cpn1212",1,0,0,1
"174","cpn1213",1,0,0,1
"175","cpn1216",1,0,0,1
"176","cpn1217",2,0,0,2
"177","cpn1218",2,0,0,2
"179","cpn1220",2,1,0,1
"180","cpn1221",1,1,0,0
"181","cpn1222",4,0,0,4
"182","cpn1224",1,0,0,1
"183","cpn1225",3,1,0,2
"184","cpn1226",1,0,0,1
"185","cpn1227",3,1,0,2
"186","cpn1228",2,0,0,2
"187","cpn1229",2,2,0,0
"189","cpn1230",3,1,0,2
"190","cpn1231",1,1,0,0
"191","cpn1232",2,0,0,2
"192","cpn1234",4,0,0,4
"193","cpn1235",1,0,0,1
"194","cpn1236",2,0,0,2
"195","cpn1237",3,1,0,2
"196","cpn1238",1,0,0,1
"197","cpn1239",1,0,0,1
"199","cpn1240",5,0,0,5
"200","cpn1241",2,0,0,2
"201","cpn1242",3,0,0,3
"202","cpn1243",1,0,0,1
"203","cpn1249",6,0,0,6
"205","cpn1250",1,0,0,1
"206","cpn1251",5,0,0,5
"207","cpn1253",1,0,0,1
"208","cpn1254",1,0,0,1
"209","cpn1255",5,1,0,4
"210","cpn1258",1,0,0,1
"211","cpn1259",1,1,0,0
"213","cpn1260",1,0,0,1
"214","cpn1261",1,0,0,1
"215","cpn1262",1,0,0,1
"216","cpn1263",4,3,0,1
"217","cpn1264",4,0,0,4
"218","cpn1265",1,0,0,1
"219","cpn1266",1,0,0,1
"220","cpn1268",1,1,0,0
"221","cpn1269",2,1,0,1
"222","cpn1270",9,3,0,6
"223","cpn1271",1,0,0,1
"224","cpn1272",1,0,0,1
"225","cpn1273",2,2,0,0
"226","cpn1274",1,0,0,1
"227","cpn1275",3,0,0,3
"228","cpn1276",1,0,0,1
"229","cpn1277",2,2,0,0
"231","cpn1281",2,0,0,2
"232","cpn1282",1,0,0,1
"233","cpn1283",1,0,0,1
"234","cpn1284",1,0,0,1
"235","cpn1288",3,0,0,3
"236","cpn1289",1,0,0,1
"238","cpn1290",3,0,0,3
"239","cpn1291",7,0,0,7
"240","cpn1292",2,0,0,2
"241","cpn1293",2,0,0,2
"242","cpn1294",3,0,0,3
"243","cpn1295",1,1,0,0
"244","cpn1296",1,1,0,0
"245","cpn1298",2,0,0,2
"246","cpn1299",1,0,0,1
"248","cpn1300",1,0,0,1
"249","cpn1301",1,1,0,0
"250","cpn1304",2,0,0,2
"251","cpn1305",2,0,0,2
"252","cpn1306",1,0,0,1
"253","cpn1308",3,0,0,3
"254","cpn1309",1,0,0,1
"255","cpn1310",2,0,0,2
"256","cpn1311",1,1,0,0
"257","cpn1312",3,1,0,2
"258","cpn1314",6,0,0,6
"259","cpn1315",2,0,0,2
"260","cpn1317",3,0,0,3
"262","cpn1320",2,0,0,2
"263","cpn1321",1,0,0,1
"264","cpn1322",3,0,0,3
"265","cpn1323",1,0,0,1
"266","cpn1325",1,0,0,1
"267","cpn1326",1,0,0,1
"268","cpn1328",4,1,0,3
"269","cpn1329",5,1,0,4
"271","cpn1331",5,0,0,5
"272","cpn1332",1,0,0,1
"273","cpn1334",2,0,0,2
"274","cpn1335",2,0,0,2
"275","cpn1337",5,1,0,4
"276","cpn1338",2,1,0,1
"278","cpn1341",1,0,0,1
"279","cpn1342",2,0,0,2
"280","cpn1344",2,0,0,2
"281","cpn1346",1,1,0,0
"282","cpn1347",2,0,0,2
"283","cpn1349",1,0,0,1
"285","cpn1350",1,0,0,1
"286","cpn1351",2,0,0,2
"287","cpn1354",3,2,0,1
"288","cpn1355",4,0,0,4
"289","cpn1356",1,0,0,1
"290","cpn1358",3,0,0,3
"291","cpn1359",1,0,0,1
"293","cpn1360",1,0,0,1
"294","cpn1361",1,0,0,1
"295","cpn1362",1,0,0,1
"296","cpn1363",1,0,0,1
"297","cpn1364",3,0,0,3
"298","cpn1366",4,0,0,4
"299","cpn1367",3,2,0,1
"300","cpn1368",3,0,0,3
"301","cpn1369",2,0,0,2
"303","cpn1370",3,1,0,2
"304","cpn1371",1,0,0,1
"305","cpn1372",1,0,0,1
"306","cpn1373",1,0,0,1
"307","cpn1374",4,2,0,2
"308","cpn1375",1,0,0,1
"309","cpn1376",2,0,0,2
"310","cpn1377",4,0,0,4
"311","cpn1378",2,1,0,1
"312","cpn1379",1,0,0,1
"314","cpn1381",2,0,0,2
"315","cpn1382",5,2,0,3
"316","cpn1384",2,0,0,2
"317","cpn1385",1,0,0,1
"318","cpn1387",3,0,0,3
"319","cpn1388",1,0,0,1
"320","cpn1389",3,0,0,3
"322","cpn1390",2,2,0,0
"323","cpn1391",1,0,0,1
"324","cpn1394",7,1,0,6
"325","cpn1395",6,0,0,6
"326","cpn1397",2,1,0,1
"327","cpn1398",2,0,0,2
"328","cpn1399",1,0,0,1
"331","cpn1400",4,2,0,2
"332","cpn1401",2,1,0,1
"333","cpn1404",1,1,0,0
"334","cpn1405",1,0,0,1
"335","cpn1406",3,0,0,3
"336","cpn1407",2,0,0,2
"337","cpn1408",2,0,0,2
"339","cpn1410",1,0,0,1
"340","cpn1411",4,1,0,3
"341","cpn1412",1,0,0,1
"342","cpn1414",2,1,0,1
"343","cpn1415",1,0,0,1
"344","cpn1416",3,1,0,2
"345","cpn1417",1,0,0,1
"346","cpn1419",1,0,0,1
"348","cpn1420",5,1,0,4
"349","cpn1421",2,0,0,2
"350","cpn1422",2,0,0,2
"351","cpn1424",1,0,0,1
"352","cpn1425",2,0,0,2
"353","cpn1428",1,0,0,1
"354","cpn1429",3,0,0,3
"356","cpn1430",1,1,0,0
"357","cpn1431",1,0,0,1
"358","cpn1432",4,0,0,4
"359","cpn1433",2,0,0,2
"360","cpn1436",1,1,0,0
"361","cpn1437",5,1,0,4
"362","cpn1438",1,0,0,1
"363","cpn1439",1,0,0,1
"365","cpn1440",1,0,0,1
"366","cpn1441",1,1,0,0
"367","cpn1442",1,0,0,1
"368","cpn1443",1,0,0,1
"369","cpn1444",2,0,0,2
"370","cpn1446",2,1,0,1
"371","cpn1448",2,0,0,2
"373","cpn1451",5,1,0,4
"374","cpn1452",3,0,0,3
"375","cpn1454",2,0,0,2
"376","cpn1455",2,0,0,2
"377","cpn1457",3,2,0,1
"378","cpn1458",1,0,0,1
"379","cpn1459",3,1,0,2
"381","cpn1460",1,0,0,1
"382","cpn1461",1,0,0,1
"383","cpn1462",2,0,0,2
"384","cpn1464",1,0,0,1
"385","cpn1466",2,2,0,0
"386","cpn1467",2,0,0,2
"387","cpn1468",2,0,0,2
"388","cpn1469",3,1,0,2
"390","cpn1470",2,0,0,2
"391","cpn1471",3,0,0,3
"392","cpn1472",2,2,0,0
"393","cpn1473",2,0,0,2
"394","cpn1474",2,0,0,2
"395","cpn1475",1,0,0,1
"396","cpn1476",2,0,0,2
"397","cpn1477",1,0,0,1
"398","cpn1478",2,0,0,2
"399","cpn1479",4,0,0,4
"401","cpn1480",1,0,0,1
"402","cpn1481",7,2,0,5
"403","cpn1483",1,0,0,1
"404","cpn1484",3,0,0,3
"405","cpn1485",1,0,0,1
"406","cpn1486",3,2,0,1
"407","cpn1487",2,0,0,2
"408","cpn1488",4,1,0,3
"409","cpn1489",1,0,0,1
"411","cpn1490",2,0,0,2
"412","cpn1492",1,0,0,1
"413","cpn1495",2,0,0,2
"414","cpn1497",1,1,0,0
"417","cpn1500",2,0,0,2
"418","cpn1501",4,1,0,3
"419","cpn1503",1,0,0,1
"420","cpn1504",1,0,0,1
"421","cpn1505",2,1,0,1
"422","cpn1507",1,0,0,1
"423","cpn1508",3,1,0,2
"424","cpn1509",1,0,0,1
"426","cpn1514",6,0,0,6
"427","cpn1515",3,1,0,2
"428","cpn1516",1,1,0,0
"429","cpn1517",1,0,0,1
"430","cpn1518",3,1,0,2
"431","cpn1519",2,0,0,2
"433","cpn1520",2,0,0,2
"434","cpn1521",1,1,0,0
"435","cpn1522",2,1,0,1
"436","cpn1523",2,0,0,2
"437","cpn1524",2,0,0,2
"438","cpn1525",2,0,0,2
"439","cpn1526",1,0,0,1
"440","cpn1528",3,0,0,3
"441","cpn1529",1,0,0,1
"443","cpn1530",2,0,0,2
"444","cpn1531",2,0,0,2
"445","cpn1532",2,0,0,2
"446","cpn1533",1,0,0,1
"447","cpn1534",1,1,0,0
"448","cpn1535",3,1,0,2
"449","cpn1536",2,0,0,2
"450","cpn1537",1,0,0,1
"451","cpn1538",1,0,0,1
"452","cpn1539",1,0,0,1
"454","cpn1540",2,1,0,1
"455","cpn1542",1,0,0,1
"456","cpn1545",1,1,0,0
"457","cpn1546",2,0,0,2
"458","cpn1547",1,0,0,1
"459","cpn1548",1,0,0,1
"460","cpn1549",1,1,0,0
"462","cpn1550",4,0,0,4
"463","cpn1554",1,0,0,1
"464","cpn1558",3,0,0,3
"465","cpn1559",4,0,0,4
"467","cpn1560",3,0,0,3
"468","cpn1561",4,2,0,2
"469","cpn1562",1,0,0,1
"470","cpn1563",1,1,0,0
"471","cpn1564",1,0,0,1
"472","cpn1565",2,0,0,2
"473","cpn1566",2,0,0,2
"474","cpn1567",2,1,0,1
"475","cpn1569",2,0,0,2
"477","cpn1570",1,0,0,1
"478","cpn1571",1,0,0,1
"479","cpn1572",2,1,0,1
"480","cpn1574",2,0,0,2
"481","cpn1575",1,0,0,1
"482","cpn1578",4,0,0,4
"483","cpn1579",3,3,0,0
"485","cpn1582",1,1,0,0
"486","cpn1583",2,0,0,2
"487","cpn1584",1,0,0,1
"488","cpn1586",1,1,0,0
"489","cpn1587",3,1,0,2
"490","cpn1588",1,1,0,0
"491","cpn1589",1,0,0,1
"493","cpn1590",2,1,0,1
"494","cpn1591",1,0,0,1
"495","cpn1594",4,0,0,4
"496","cpn1595",1,0,0,1
"497","cpn1597",1,1,0,0
"498","cpn1599",4,1,0,3
"501","cpn1600",1,0,0,1
"502","cpn1602",2,1,0,1
"503","cpn1603",3,1,0,2
"504","cpn1604",2,0,0,2
"505","cpn1607",1,0,0,1
"506","cpn1608",1,0,0,1
"507","cpn1609",1,0,0,1
"509","cpn1611",1,0,0,1
"510","cpn1612",1,0,0,1
"511","cpn1613",1,0,0,1
"512","cpn1614",1,0,0,1
"513","cpn1615",3,0,0,3
"514","cpn1617",1,0,0,1
"515","cpn1619",1,0,0,1
"517","cpn1620",1,1,0,0
"518","cpn1621",2,0,0,2
"519","cpn1624",1,0,0,1
"520","cpn1627",1,0,0,1
"522","cpn1631",2,0,0,2
"523","cpn1633",1,0,0,1
"524","cpn1637",1,0,0,1
"525","cpn1638",1,0,0,1
"527","cpn1641",1,0,0,1
"528","cpn1642",2,0,0,2
"529","cpn1643",2,1,0,1
"530","cpn1645",1,0,0,1
"531","cpn1647",3,0,0,3
"532","cpn1648",3,0,0,3
"533","cpn1649",1,0,0,1
"535","cpn1650",1,0,0,1
"536","cpn1651",3,1,0,2
"537","cpn1653",2,0,0,2
"538","cpn1654",1,0,0,1
"539","cpn1655",2,1,0,1
"541","cpn1660",2,0,0,2
"542","cpn1661",1,0,0,1
"543","cpn1664",3,1,0,2
"544","cpn1665",3,1,0,2
"545","cpn1667",1,0,0,1
"546","cpn1669",1,0,0,1
"548","cpn1670",3,0,0,3
"549","cpn1672",1,0,0,1
"550","cpn1675",1,0,0,1
"551","cpn1676",2,1,0,1
"552","cpn1678",2,1,0,1
"553","cpn1679",1,0,0,1
"555","cpn1680",1,0,0,1
"556","cpn1681",1,0,0,1
"557","cpn1682",1,0,0,1
"558","cpn1683",2,2,0,0
"559","cpn1684",1,1,0,0
"560","cpn1685",1,0,0,1
"561","cpn1686",1,0,0,1
"562","cpn1689",3,1,0,2
"563","cpn1691",2,1,0,1
"564","cpn1692",2,1,0,1
"565","cpn1693",6,3,0,3
"566","cpn1694",1,0,0,1
"567","cpn1695",1,0,0,1
"570","cpn1703",2,0,0,2
"571","cpn1708",2,0,0,2
"572","cpn1709",2,0,0,2
"574","cpn1710",1,0,0,1
"575","cpn1711",1,0,0,1
"576","cpn1712",1,0,0,1
"577","cpn1713",1,0,0,1
"578","cpn1714",1,0,0,1
"579","cpn1715",2,1,0,1
"580","cpn1717",1,0,0,1
"581","cpn1718",1,0,0,1
"582","cpn1719",2,1,0,1
"584","cpn1720",8,1,0,7
"585","cpn1723",1,0,0,1
"586","cpn1724",1,0,0,1
"587","cpn1729",1,0,0,1
"588","cpn1731",1,0,0,1
"589","cpn1732",1,0,0,1
"590","cpn1733",2,1,0,1
"591","cpn1734",1,1,0,0
"592","cpn1735",2,0,0,2
"593","cpn1736",2,0,0,2
"594","cpn1737",3,1,0,2
"595","cpn1738",1,0,0,1
"597","cpn1740",1,0,0,1
"598","cpn1741",1,0,0,1
"599","cpn1742",1,0,0,1
"600","cpn1747",2,1,0,1
"601","cpn1748",1,0,0,1
"602","cpn1749",1,1,0,0
"603","cpn1750",1,0,0,1
"604","cpn1751",1,0,0,1
"605","cpn1752",2,1,0,1
"606","cpn1753",1,0,0,1
"607","cpn1755",3,1,0,2
"608","cpn1757",1,0,0,1
"609","cpn1758",5,1,0,4
"611","cpn1761",1,0,0,1
"612","cpn1762",1,0,0,1
"613","cpn1763",1,0,0,1
"614","cpn1764",1,0,0,1
"615","cpn1767",1,0,0,1
"616","cpn1768",1,0,0,1
"618","cpn1770",6,1,0,5
"619","cpn1771",2,0,0,2
"620","cpn1774",2,0,0,2
"621","cpn1775",3,0,0,3
"622","cpn1777",1,0,0,1
"623","cpn1779",2,1,0,1
"625","cpn1780",1,1,0,0
"626","cpn1788",4,2,0,2
"628","cpn1790",3,0,0,3
"629","cpn1792",2,0,0,2
"630","cpn1793",1,1,0,0
"631","cpn1794",1,0,0,1
"632","cpn1795",1,0,0,1
"633","cpn1796",3,0,0,3
"634","cpn1799",1,0,0,1
"637","cpn1800",2,1,0,1
"638","cpn1801",1,1,0,0
"639","cpn1802",1,0,0,1
"640","cpn1803",1,0,0,1
"641","cpn1805",4,0,0,4
"643","cpn1810",1,1,0,0
"644","cpn1811",1,0,0,1
"645","cpn1814",2,2,0,0
"646","cpn1815",3,0,0,3
"647","cpn1816",1,0,0,1
"648","cpn1818",1,0,0,1
"649","cpn1823",1,0,0,1
"650","cpn1824",1,0,0,1
"651","cpn1825",3,1,0,2
"652","cpn1826",1,0,0,1
"653","cpn1828",1,0,0,1
"654","cpn1833",1,0,0,1
"655","cpn1837",2,0,0,2
"656","cpn1839",3,0,0,3
"658","cpn1840",2,1,0,1
"659","cpn1842",2,0,0,2
"660","cpn1843",1,0,0,1
"661","cpn1844",1,0,0,1
"662","cpn1846",1,0,0,1
"663","cpn1848",4,0,0,4
"665","cpn1852",2,0,0,2
"666","cpn1853",2,1,0,1
"667","cpn1860",1,0,0,1
"668","cpn1861",1,0,0,1
"669","cpn1862",1,1,0,0
"670","cpn1863",1,0,0,1
"671","cpn1867",1,0,0,1
"672","cpn1869",1,0,0,1
"674","cpn1870",1,0,0,1
"675","cpn1871",1,0,0,1
"676","cpn1875",1,1,0,0
"677","cpn1876",1,0,0,1
"678","cpn1878",1,0,0,1
"679","cpn1879",3,2,0,1
"681","cpn1880",2,0,0,2
"682","cpn1881",2,1,0,1
"683","cpn1883",1,0,0,1
"684","cpn1884",1,0,0,1
"685","cpn1887",2,1,0,1
"686","cpn1888",2,0,0,2
"687","cpn1889",1,0,0,1
"689","cpn1890",1,0,0,1
"690","cpn1891",1,1,0,0
"691","cpn1895",2,1,0,1
"692","cpn1896",1,0,0,1
"693","cpn1897",1,0,0,1
"696","cpn1900",2,2,0,0
"697","cpn1901",1,0,0,1
"698","cpn1906",1,0,0,1
"699","cpn1907",4,2,0,2
"700","cpn1908",3,2,0,1
"701","cpn1909",1,1,0,0
"703","cpn1910",1,0,0,1
"704","cpn1911",1,0,0,1
"705","cpn1912",1,0,0,1
"706","cpn1913",1,0,0,1
"707","cpn1914",2,0,0,2
"708","cpn1915",2,2,0,0
"709","cpn1917",1,1,0,0
"710","cpn1922",3,0,0,3
"711","cpn1923",1,0,0,1
"712","cpn1924",3,1,0,2
"713","cpn1925",2,0,0,2
"714","cpn1927",2,0,0,2
"716","cpn1930",1,0,0,1
"717","cpn1934",1,0,0,1
"718","cpn1935",2,1,0,1
"719","cpn1938",2,1,0,1
"720","cpn1939",4,1,0,3
"722","cpn1943",1,0,0,1
"723","cpn1945",1,0,0,1
"724","cpn1947",1,1,0,0
"725","cpn1948",1,1,0,0
"727","cpn1951",3,1,0,2
"728","cpn1952",2,1,0,1
"729","cpn1956",2,0,0,2
"730","cpn1957",2,1,0,1
"731","cpn1958",1,0,0,1
"732","cpn1959",2,0,0,2
"734","cpn1960",1,1,0,0
"735","cpn1963",2,0,0,2
"736","cpn1964",1,0,0,1
"737","cpn1966",2,0,0,2
"738","cpn1967",3,0,0,3
"739","cpn1968",1,0,0,1
"740","cpn1969",2,0,0,2
"742","cpn1972",2,1,0,1
"743","cpn1979",1,0,0,1
"745","cpn1980",1,0,0,1
"746","cpn1981",1,0,0,1
"747","cpn1985",1,0,0,1
"748","cpn1987",1,0,0,1
"749","cpn1988",1,1,0,0
"750","cpn1989",1,0,0,1
"752","cpn1990",3,1,0,2
"753","cpn1991",3,1,0,2
"754","cpn1992",2,0,0,2
"755","cpn1994",1,1,0,0
"756","cpn1995",3,2,1,1
"757","cpn1996",4,4,0,0
"758","cpn1997",1,1,0,0
"759","cpn1998",3,1,0,2
"762","cpn2000",1,1,0,0
"763","cpn2002",2,0,0,2
"764","cpn2003",1,0,0,1
"765","cpn2004",1,1,0,0
"766","cpn2006",1,0,0,1
"767","cpn2007",1,0,0,1
"768","cpn2008",1,0,0,1
"769","cpn2009",1,0,0,1
"771","cpn2012",1,0,0,1
"772","cpn2014",3,1,0,2
"773","cpn2015",1,1,0,0
"774","cpn2019",5,1,0,4
"775","cpn2021",6,0,0,6
"776","cpn2022",1,0,0,1
"777","cpn2024",1,1,0,0
"778","cpn2025",1,1,0,0
"779","cpn2026",3,1,0,2
"780","cpn2027",1,0,0,1
"781","cpn2029",1,1,0,0
"783","cpn2030",2,2,0,0
"784","cpn2031",1,0,0,1
"785","cpn2032",1,0,0,1
"786","cpn2034",1,1,0,0
"787","cpn2035",2,0,0,2
"788","cpn2036",1,0,0,1
"789","cpn2037",1,1,0,0
"790","cpn2038",2,0,0,2
"792","cpn2041",2,0,0,2
"793","cpn2045",1,0,0,1
"794","cpn2046",1,1,0,0
"795","cpn2047",2,1,0,1
"796","cpn2048",2,0,0,2
"797","cpn2049",2,1,0,1
"799","cpn2052",1,0,0,1
"800","cpn2053",2,1,0,1
"801","cpn2054",1,0,0,1
"802","cpn2055",3,0,0,3
"803","cpn2056",3,0,0,3
"804","cpn2059",1,1,0,0
"806","cpn2060",3,0,0,3
"807","cpn2061",3,1,0,2
"808","cpn2062",2,0,0,2
"809","cpn2063",1,0,0,1
"810","cpn2064",1,1,0,0
"811","cpn2066",2,0,0,2
"812","cpn2067",2,0,0,2
"813","cpn2069",1,0,0,1
"815","cpn2074",1,0,0,1
"816","cpn2075",1,0,0,1
"817","cpn2076",2,0,0,2
"819","cpn2081",5,2,0,3
"820","cpn2083",1,0,0,1
"821","cpn2085",1,1,0,0
"822","cpn2086",2,1,0,1
"823","cpn2089",2,0,0,2
"825","cpn2093",2,0,0,2
"826","cpn2094",4,2,0,2
"827","cpn2095",4,2,0,2
"828","cpn2096",1,0,0,1
"829","cpn2099",1,0,0,1
"832","cpn2103",2,1,0,1
"833","cpn2104",2,0,0,2
"834","cpn2105",1,1,0,0
"835","cpn2106",1,1,0,0
"836","cpn2107",2,0,0,2
"837","cpn2108",1,0,0,1
"838","cpn2109",1,0,0,1
"840","cpn2111",1,1,0,0
"841","cpn2112",1,0,0,1
"842","cpn2114",2,1,0,1
"843","cpn2116",1,0,0,1
"844","cpn2119",1,0,0,1
"846","cpn2123",2,2,0,0
"847","cpn2124",1,0,0,1
"848","cpn2127",2,2,0,0
"849","cpn2128",2,0,0,2
"851","cpn2132",2,0,0,2
"852","cpn2135",1,0,0,1
"853","cpn2138",1,1,0,0
"854","cpn2141",1,0,0,1
"855","cpn2142",3,0,0,3
"856","cpn2146",1,0,0,1
"857","cpn2147",1,1,0,0
"858","cpn2149",2,0,0,2
"860","cpn2151",2,0,0,2
"861","cpn2152",1,0,0,1
"862","cpn2153",1,0,0,1
"863","cpn2154",1,0,0,1
"864","cpn2155",2,0,0,2
"865","cpn2156",1,0,0,1
"866","cpn2157",1,0,0,1
"867","cpn2158",1,0,0,1
"868","cpn2159",1,0,0,1
"870","cpn2161",2,0,0,2
"871","cpn2162",1,0,0,1
"872","cpn2168",1,0,0,1
"873","cpn2169",2,0,0,2
"875","cpn2170",1,0,0,1
"876","cpn2171",1,0,0,1
"877","cpn2172",1,0,0,1
"878","cpn2174",1,0,0,1
"879","cpn2176",1,0,0,1
"880","cpn2177",2,1,0,1
"881","cpn2178",1,0,0,1
"882","cpn2179",2,0,0,2
"884","cpn2180",1,1,0,0
"885","cpn2181",1,0,0,1
"886","cpn2184",4,1,0,3
"887","cpn2185",1,0,0,1
"888","cpn2188",1,0,0,1
"890","cpn2190",1,0,0,1
"891","cpn2191",1,0,0,1
"892","cpn2192",3,1,0,2
"893","cpn2193",3,0,0,3
"894","cpn2194",4,0,0,4
"895","cpn2197",1,0,0,1
"896","cpn2198",1,0,0,1
"899","cpn2201",1,1,0,0
"900","cpn2202",3,0,0,3
"901","cpn2203",1,0,0,1
"902","cpn2204",1,0,0,1
"903","cpn2207",1,1,0,0
"904","cpn2208",1,0,0,1
"905","cpn2209",1,0,0,1
"906","cpn2210",1,0,0,1
"907","cpn2213",2,0,0,2
"908","cpn2214",1,1,0,0
"909","cpn2215",1,0,0,1
"910","cpn2216",1,1,0,0
"911","cpn2217",1,0,0,1
"912","cpn2219",1,1,0,0
"914","cpn2221",1,0,0,1
"915","cpn2225",1,0,0,1
"916","cpn2226",1,0,0,1
"917","cpn2227",1,0,0,1
"918","cpn2232",1,0,0,1
"919","cpn2234",2,0,0,2
"920","cpn2236",1,0,0,1
"921","cpn2237",1,0,0,1
"923","cpn2242",1,0,0,1
"924","cpn2243",1,0,0,1
"925","cpn2244",1,0,0,1
"926","cpn2245",1,0,0,1
"927","cpn2246",1,0,0,1
"928","cpn2247",1,0,0,1
"929","cpn2248",2,1,0,1
"931","cpn2251",3,0,0,3
"932","cpn2252",2,0,0,2
"933","cpn2253",1,0,0,1
"934","cpn2254",1,0,0,1
"935","cpn2255",1,0,0,1
"936","cpn2256",1,0,0,1
"937","cpn2257",1,0,0,1
"938","cpn2259",3,1,0,2
"940","cpn2260",4,1,0,3
"941","cpn2263",1,0,0,1
"942","cpn2266",1,0,0,1
"944","cpn2274",1,0,0,1
"945","cpn2275",1,1,0,0
"946","cpn2279",1,0,0,1
"948","cpn2281",2,1,0,1
"949","cpn2284",2,0,0,2
"950","cpn2285",1,1,0,0
"951","cpn2287",1,0,0,1
"953","cpn2295",1,1,0,0
"954","cpn2296",1,0,0,1
"955","cpn2297",3,0,0,3
"958","cpn2301",1,0,0,1
"959","cpn2303",1,0,0,1
"960","cpn2304",1,0,0,1
"961","cpn2308",1,0,0,1
"963","cpn2313",1,0,0,1
"964","cpn2314",1,0,0,1
"965","cpn2315",1,0,0,1
"966","cpn2317",2,1,0,1
"967","cpn2318",1,0,0,1
"968","cpn2319",1,0,0,1
"970","cpn2320",1,0,0,1
"971","cpn2324",4,0,0,4
"972","cpn2325",1,1,0,0
"973","cpn2326",1,0,0,1
"974","cpn2327",1,0,0,1
