"","couponID","price","basePrice","reward","brand","productGroup","catSub1","catSub2","catSub3","catSub4","catSub5","nSubCats"
"3868","cpn1693",5.37,0.08,3.14,"brand3","prod40","cat1",NA,NA,NA,NA,1
"3881","cpn1694",3.52,1.41,1.57,"brand3","prod34","cat5",NA,NA,NA,NA,1
"3893","cpn1696",6.44,3.21,1.26,"brand3","prod122","cat21",NA,NA,NA,NA,1
"3894","cpn1697",5.51,1.1,1.57,"brand3","prod115","cat13",NA,NA,NA,NA,1
"3911","cpn1699",3.89,1.56,0.94,"brand3","prod114","cat5",NA,NA,NA,NA,1
"3912","cpn1700",3.89,0,1.57,"brand3","prod190","cat13",NA,NA,NA,NA,1
"3916","cpn1701",3.38,1.69,1.57,"brand3","prod173","cat8",NA,NA,NA,NA,1
"3921","cpn1704",4.58,1.02,1.26,"brand3","prod49","cat5",NA,NA,NA,NA,1
"3922","cpn1705",3.24,1.8,0.63,"brand2","prod51","cat8",NA,NA,NA,NA,1
"3923","cpn1706",4.4,3.99,1.26,"brand3","prod57","cat5",NA,NA,NA,NA,1
"3924","cpn1707",4.17,0,1.57,"brand3","prod39","cat5",NA,NA,NA,NA,1
"3943","cpn1710",5.7,3.56,1.88,"brand2","prod159","cat23",NA,NA,NA,NA,1
"3944","cpn1711",4.58,2.29,1.26,"brand17","prod108","cat23",NA,NA,NA,NA,1
"3945","cpn1712",5.09,0,2.51,"brand2","prod191","cat13",NA,NA,NA,NA,1
"3949","cpn1713",4.17,13.89,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"3967","cpn1717",5,1.25,0.63,"brand2","prod31","cat1",NA,NA,NA,NA,1
"3969","cpn1718",7.59,1.57,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"3973","cpn1719",2.78,1.54,1.57,"brand2","prod51","cat8",NA,NA,NA,NA,1
"3983","cpn1720",4.58,1.91,1.88,"brand4","prod43","cat3",NA,NA,NA,NA,1
"3993","cpn1721",7.32,2.93,1.26,"brand3","prod54","cat13",NA,NA,NA,NA,1
"3996","cpn1722",14.36,14.36,0.63,"brand3","prod17","cat5",NA,NA,NA,NA,1
"4001","cpn1723",2.32,0,1.26,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4010","cpn1724",3.61,5.16,1.57,"brand9","prod40","cat1",NA,NA,NA,NA,1
"4036","cpn1726",4.58,6.11,1.57,"brand3","prod116","cat6",NA,NA,NA,NA,1
"4037","cpn1727",4.82,2.41,1.26,"brand17","prod108","cat23",NA,NA,NA,NA,1
"4038","cpn1728",4.82,2.41,1.26,"brand17","prod108","cat23",NA,NA,NA,NA,1
"4041","cpn1729",3.52,2.34,1.88,"brand3","prod44","cat5",NA,NA,NA,NA,1
"4051","cpn1730",6.67,2.67,1.57,"brand3","prod51","cat8",NA,NA,NA,NA,1
"4054","cpn1731",3.66,12.19,1.57,"brand3","prod63","cat5",NA,NA,NA,NA,1
"4098","cpn1736",5.84,2.92,1.88,"brand3","prod172","cat5",NA,NA,NA,NA,1
"4107","cpn1737",15.7,7.84,0.94,"brand3","prod18","cat5",NA,NA,NA,NA,1
"4113","cpn1739",5.05,1.01,1.57,"brand3","prod110","cat6",NA,NA,NA,NA,1
"4118","cpn1741",3.01,2.41,1.26,"brand3","prod51","cat8",NA,NA,NA,NA,1
"4119","cpn1742",5.46,1.36,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4125","cpn1743",4.35,4.35,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4129","cpn1744",4.45,2.96,1.26,"brand3","prod51","cat8",NA,NA,NA,NA,1
"4130","cpn1745",4.35,1.97,0,"brand3","prod74","cat10",NA,NA,NA,NA,1
"4131","cpn1746",3.61,14.45,1.88,"brand3","prod56","cat5",NA,NA,NA,NA,1
"4139","cpn1747",7.36,0.82,1.88,"brand2","prod2","cat3",NA,NA,NA,NA,1
"4150","cpn1748",3.43,2.45,1.26,"brand2","prod38","cat1",NA,NA,NA,NA,1
"4178","cpn1753",3.24,0.54,1.26,"brand2","prod13","cat3",NA,NA,NA,NA,1
"4183","cpn1756",16.39,2.73,1.57,"brand3","prod21","cat12",NA,NA,NA,NA,1
"4185","cpn1757",2.5,1,0.94,"brand3","prod130","cat6",NA,NA,NA,NA,1
"4186","cpn1758",4.35,1.81,0.63,"brand2","prod31","cat1",NA,NA,NA,NA,1
"4188","cpn1759",3.33,1.13,6.28,"brand2","prod56","cat5",NA,NA,NA,NA,1
"4195","cpn1760",2.87,1.91,0.94,"brand3","prod51","cat8",NA,NA,NA,NA,1
"4202","cpn1762",2.73,1.05,1.57,"brand3","prod150","cat5",NA,NA,NA,NA,1
"4209","cpn1763",19.4,4.84,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4211","cpn1764",7.22,4.82,1.26,"brand3","prod87","cat12",NA,NA,NA,NA,1
"4213","cpn1765",2.78,1.39,0.94,"brand2","prod51","cat8",NA,NA,NA,NA,1
"4234","cpn1767",2.69,0.54,1.57,"brand2","prod148","cat13",NA,NA,NA,NA,1
"4239","cpn1768",18.48,0.28,1.88,"brand3","prod160","cat6",NA,NA,NA,NA,1
"4244","cpn1769",37.23,2.75,1.26,"brand3","prod41","cat5",NA,NA,NA,NA,1
"4247","cpn1771",5.51,1.83,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"4260","cpn1773",2.96,1.64,1.57,"brand3","prod111","cat5",NA,NA,NA,NA,1
"4271","cpn1774",5.37,1.46,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"4311","cpn1776",8.29,2.63,0.63,"brand3","prod17","cat5",NA,NA,NA,NA,1
"4320","cpn1777",3.66,0.61,1.88,"brand3","prod25","cat13",NA,NA,NA,NA,1
"4322","cpn1778",3.98,4.97,1.26,"brand3","prod17","cat5",NA,NA,NA,NA,1
"4342","cpn1780",3.24,1.62,0.63,"brand3","prod106","cat8",NA,NA,NA,NA,1
"4347","cpn1782",3.52,0,1.26,"brand3","prod64","cat5",NA,NA,NA,NA,1
"4351","cpn1783",2.27,1.82,0.94,"brand3","prod132","cat8",NA,NA,NA,NA,1
"4369","cpn1785",2.32,0.93,1.57,"brand3","prod164","cat8",NA,NA,NA,NA,1
"4381","cpn1786",2.73,2.09,1.26,"brand2","prod156","cat1",NA,NA,NA,NA,1
"4386","cpn1787",3.06,1.22,1.57,"brand3","prod64","cat5",NA,NA,NA,NA,1
"4394","cpn1788",4.58,1.53,1.26,"brand4","prod46","cat3",NA,NA,NA,NA,1
"4404","cpn1789",4.58,0,1.57,"brand13","prod54","cat13",NA,NA,NA,NA,1
"4411","cpn1791",2.73,1.44,0.94,"brand3","prod44","cat5",NA,NA,NA,NA,1
"4434","cpn1795",3.01,2,1.57,"brand3","prod73","cat5",NA,NA,NA,NA,1
"4439","cpn1797",31.44,6.29,0.94,"brand3","prod114","cat5",NA,NA,NA,NA,1
"4444","cpn1799",3.66,0,1.57,"brand3","prod50","cat5",NA,NA,NA,NA,1
"4445","cpn1800",2.69,0,2.51,"brand2","prod162","cat13",NA,NA,NA,NA,1
"4446","cpn1801",2.64,0,2.2,"brand3","prod192","cat13",NA,NA,NA,NA,1
"4458","cpn1803",13.85,0,2.51,"brand3","prod193","cat13",NA,NA,NA,NA,1
"4464","cpn1804",2.59,0,2.51,"brand3","prod41","cat5",NA,NA,NA,NA,1
"4466","cpn1805",5.51,1.22,1.57,"brand4","prod43","cat3",NA,NA,NA,NA,1
"4475","cpn1807",9.22,2.14,1.57,"brand2","prod43","cat3",NA,NA,NA,NA,1
"4483","cpn1808",13.62,1.69,1.26,"brand2","prod12","cat5",NA,NA,NA,NA,1
"4485","cpn1809",5.84,1.17,2.2,"brand2","prod194","cat11",NA,NA,NA,NA,1
"4499","cpn1810",15,7.58,1.57,"brand3","prod109","cat12",NA,NA,NA,NA,1
"4504","cpn1811",2.32,0.51,1.57,"brand3","prod101","cat8",NA,NA,NA,NA,1
"4509","cpn1812",6.76,0,1.57,"brand3","prod195","cat5",NA,NA,NA,NA,1
"4521","cpn1813",8.8,2.79,0.94,"brand3","prod114","cat5",NA,NA,NA,NA,1
"4524","cpn1814",5.42,5.42,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4526","cpn1815",4.17,3.33,1.26,"brand3","prod12","cat5",NA,NA,NA,NA,1
"4527","cpn1816",8.71,12.09,1.57,"brand3","prod115","cat13",NA,NA,NA,NA,1
"4538","cpn1819",4.58,5.72,1.57,"brand3","prod39","cat5",NA,NA,NA,NA,1
"4539","cpn1820",3.66,0.95,3.14,"brand2","prod165","cat5",NA,NA,NA,NA,1
"4542","cpn1822",17.55,0.72,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4550","cpn1823",2.73,1.95,1.26,"brand3","prod64","cat5",NA,NA,NA,NA,1
"4551","cpn1824",6.67,0.06,1.26,"brand3","prod109","cat12",NA,NA,NA,NA,1
"4564","cpn1825",2.41,1.55,1.57,"brand2","prod56","cat5",NA,NA,NA,NA,1
"4565","cpn1826",2.41,1.93,1.57,"brand3","prod44","cat5",NA,NA,NA,NA,1
"4590","cpn1827",2.69,0.31,1.26,"brand2","prod16","cat5",NA,NA,NA,NA,1
"4594","cpn1829",2.73,1.44,0.94,"brand3","prod44","cat5",NA,NA,NA,NA,1
"4595","cpn1830",2.73,1.47,6.28,"brand3","prod37","cat5",NA,NA,NA,NA,1
"4611","cpn1831",4.35,0.87,1.26,"brand3","prod85","cat5",NA,NA,NA,NA,1
"4620","cpn1832",7.78,2.59,1.88,"brand3","prod87","cat12",NA,NA,NA,NA,1
"4622","cpn1833",7.36,10.51,1.57,"brand3","prod166","cat23",NA,NA,NA,NA,1
"4627","cpn1835",2.73,1.65,1.57,"brand2","prod125","cat5",NA,NA,NA,NA,1
"4629","cpn1836",5.37,0,2.2,"brand3","prod175","cat13",NA,NA,NA,NA,1
"4642","cpn1838",5.51,3.06,1.26,"brand3","prod51","cat8",NA,NA,NA,NA,1
"4646","cpn1839",5,1,1.26,"brand3","prod27","cat5",NA,NA,NA,NA,1
"4662","cpn1844",13.24,6.62,1.26,"brand3","prod55","cat5",NA,NA,NA,NA,1
"4665","cpn1845",3.06,0.61,0.63,"brand3","prod17","cat5",NA,NA,NA,NA,1
"4667","cpn1846",4.58,0.61,1.26,"brand2","prod28","cat3",NA,NA,NA,NA,1
"4668","cpn1847",3.43,1.27,1.57,"brand3","prod73","cat5",NA,NA,NA,NA,1
"4707","cpn1850",4.08,1.43,1.26,"brand3","prod73","cat5",NA,NA,NA,NA,1
"4720","cpn1851",2.82,0.85,1.57,"brand3","prod68","cat8",NA,NA,NA,NA,1
"4727","cpn1852",5.09,2.68,3.14,"brand2","prod28","cat3",NA,NA,NA,NA,1
"4743","cpn1855",3.43,2.01,1.26,"brand3","prod44","cat5",NA,NA,NA,NA,1
"4745","cpn1856",6.39,0,0.94,"brand2","prod18","cat5",NA,NA,NA,NA,1
"4769","cpn1859",2.41,1.2,1.57,"brand3","prod39","cat5",NA,NA,NA,NA,1
"4770","cpn1860",2.45,1.96,0.63,"brand3","prod106","cat8",NA,NA,NA,NA,1
"4773","cpn1862",7.13,0.89,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4778","cpn1864",3.24,1.3,1.26,"brand3","prod37","cat5",NA,NA,NA,NA,1
"4797","cpn1867",5.84,1.17,0.94,"brand3","prod12","cat5",NA,NA,NA,NA,1
"4800","cpn1869",4.45,0.94,1.26,"brand3","prod143","cat5",NA,NA,NA,NA,1
"4802","cpn1870",5.37,2.15,1.57,"brand3","prod93","cat10",NA,NA,NA,NA,1
"4815","cpn1871",2.32,1.54,0.63,"brand14","prod41","cat5",NA,NA,NA,NA,1
"4822","cpn1872",4.12,6.86,0.94,"brand3","prod87","cat12",NA,NA,NA,NA,1
"4824","cpn1874",3.24,0.13,1.88,"brand3","prod25","cat13",NA,NA,NA,NA,1
"4830","cpn1875",6.44,4.73,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"4845","cpn1877",5.51,3.67,1.88,"brand3","prod44","cat5",NA,NA,NA,NA,1
"4862","cpn1881",4.58,1.91,1.57,"brand4","prod43","cat3",NA,NA,NA,NA,1
"4876","cpn1882",5.37,2.98,1.57,"brand3","prod1","cat1",NA,NA,NA,NA,1
"4878","cpn1883",3.66,2.28,1.26,"brand3","prod157","cat5",NA,NA,NA,NA,1
"4884","cpn1884",3.66,1.58,1.57,"brand3","prod50","cat5",NA,NA,NA,NA,1
"4891","cpn1885",4.21,3.51,1.26,"brand3","prod51","cat8",NA,NA,NA,NA,1
"4893","cpn1886",7.97,1.99,0.94,"brand3","prod114","cat5",NA,NA,NA,NA,1
"4896","cpn1887",5.51,1.1,0.94,"brand3","prod27","cat5",NA,NA,NA,NA,1
"4897","cpn1888",4.72,1.27,1.26,"brand3","prod73","cat5",NA,NA,NA,NA,1
"4899","cpn1889",3.33,0.9,1.57,"brand3","prod73","cat5",NA,NA,NA,NA,1
"4901","cpn1890",9.03,1.81,1.57,"brand3","prod2","cat3",NA,NA,NA,NA,1
"4905","cpn1891",3.24,0.79,1.57,"brand3","prod80","cat5",NA,NA,NA,NA,1
"4911","cpn1892",18.06,2.25,0.94,"brand3","prod187","cat20",NA,NA,NA,NA,1
"4917","cpn1894",15.56,7.78,1.26,"brand3","prod198","cat6",NA,NA,NA,NA,1
"4921","cpn1895",8.38,1.95,0.63,"brand2","prod51","cat8",NA,NA,NA,NA,1
"4923","cpn1896",2.55,0.63,1.26,"brand4","prod105","cat11",NA,NA,NA,NA,1
"4941","cpn1897",13.66,0.3,1.57,"brand2","prod84","cat20",NA,NA,NA,NA,1
"4946","cpn1898",10,1.11,1.57,"brand3","prod87","cat12",NA,NA,NA,NA,1
"4947","cpn1899",4.58,1.67,1.26,"brand3","prod48","cat13",NA,NA,NA,NA,1
"4949","cpn1900",4.4,0,1.57,"brand3","prod165","cat5",NA,NA,NA,NA,1
"4952","cpn1901",7.13,0.89,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"4966","cpn1902",4.08,3.7,1.57,"brand3","prod41","cat5",NA,NA,NA,NA,1
"4981","cpn1904",3.38,1.93,0.94,"brand3","prod12","cat5",NA,NA,NA,NA,1
"4995","cpn1906",4.54,0.6,3.14,"brand3","prod115","cat13",NA,NA,NA,NA,1
"4999","cpn1908",2.96,1.64,1.26,"brand2","prod38","cat1",NA,NA,NA,NA,1
"5028","cpn1911",11.58,4.63,1.57,"brand3","prod86","cat3",NA,NA,NA,NA,1
"5032","cpn1912",2.59,0.52,2.2,"brand3","prod117","cat11",NA,NA,NA,NA,1
"5034","cpn1913",3.01,1,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5042","cpn1916",2.22,1.06,1.57,"brand3","prod12","cat5",NA,NA,NA,NA,1
"5043","cpn1917",2.32,0.82,0.94,"brand3","prod111","cat5",NA,NA,NA,NA,1
"5044","cpn1918",4.82,1.93,0.94,"brand3","prod164","cat8",NA,NA,NA,NA,1
"5051","cpn1919",7.97,3.19,1.88,"brand3","prod5","cat6",NA,NA,NA,NA,1
"5052","cpn1920",6.85,3.91,1.26,"brand3","prod198","cat6",NA,NA,NA,NA,1
"5056","cpn1921",7.22,1.81,1.26,"brand3","prod168","cat1",NA,NA,NA,NA,1
"5071","cpn1923",12.78,1.42,1.57,"brand3","prod87","cat12",NA,NA,NA,NA,1
"5076","cpn1924",9.22,3.69,1.26,"brand3","prod12","cat5",NA,NA,NA,NA,1
"5078","cpn1925",2.32,0,1.57,"brand4","prod63","cat5",NA,NA,NA,NA,1
"5083","cpn1926",5.93,0.74,1.26,"brand3","prod124","cat8",NA,NA,NA,NA,1
"5135","cpn1929",6.21,2.48,0.94,"brand3","prod12","cat5",NA,NA,NA,NA,1
"5160","cpn1933",12.92,8.61,3.14,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5168","cpn1934",10.84,1.2,0.94,"brand2","prod121","cat12",NA,NA,NA,NA,1
"5169","cpn1935",5.28,0.58,1.57,"brand3","prod71","cat12",NA,NA,NA,NA,1
"5170","cpn1936",5.51,3.67,1.88,"brand3","prod44","cat5",NA,NA,NA,NA,1
"5172","cpn1937",3.57,1.43,1.57,"brand3","prod130","cat6",NA,NA,NA,NA,1
"5192","cpn1939",6.11,1.91,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"5214","cpn1941",2.87,5.74,0.63,"brand3","prod92","cat6",NA,NA,NA,NA,1
"5223","cpn1943",2.41,2.41,3.14,"brand2","prod115","cat13",NA,NA,NA,NA,1
"5228","cpn1945",2.73,1.56,1.57,"brand14","prod135","cat11",NA,NA,NA,NA,1
"5229","cpn1946",9.91,0,1.57,"brand3","prod129","cat13",NA,NA,NA,NA,1
"5237","cpn1947",7.87,4.49,1.57,"brand3","prod165","cat5",NA,NA,NA,NA,1
"5245","cpn1949",2.73,0.75,0.94,"brand3","prod173","cat8",NA,NA,NA,NA,1
"5247","cpn1950",4.31,3.58,1.26,"brand3","prod69","cat5",NA,NA,NA,NA,1
"5248","cpn1951",3.66,2.93,1.88,"brand3","prod74","cat1",NA,NA,NA,NA,1
"5255","cpn1953",3.43,2.37,1.26,"brand2","prod63","cat5",NA,NA,NA,NA,1
"5264","cpn1955",4.58,0.61,1.26,"brand2","prod28","cat3",NA,NA,NA,NA,1
"5286","cpn1960",4.58,3.06,0.94,"brand3","prod56","cat5",NA,NA,NA,NA,1
"5316","cpn1962",3.06,0,1.57,"brand13","prod54","cat13",NA,NA,NA,NA,1
"5326","cpn1963",9.4,5.21,1.26,"brand2","prod161","cat1",NA,NA,NA,NA,1
"5349","cpn1966",4.82,0.31,1.88,"brand3","prod25","cat13",NA,NA,NA,NA,1
"5359","cpn1970",6.44,4.29,1.88,"brand3","prod134","cat1",NA,NA,NA,NA,1
"5388","cpn1973",4.49,2.24,1.57,"brand3","prod185","cat8",NA,NA,NA,NA,1
"5392","cpn1974",4.77,3.97,1.88,"brand3","prod40","cat1",NA,NA,NA,NA,1
"5428","cpn1975",4.58,1.34,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5429","cpn1976",4.58,1.34,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5430","cpn1977",4.58,1.34,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5448","cpn1979",8.29,0,1.57,"brand3","prod23","cat13",NA,NA,NA,NA,1
"5451","cpn1980",6.11,1.22,1.57,"brand3","prod34","cat5",NA,NA,NA,NA,1
"5475","cpn1984",3.06,0.61,0.63,"brand3","prod17","cat5",NA,NA,NA,NA,1
"5478","cpn1985",3.24,0.65,2.2,"brand2","prod23","cat13",NA,NA,NA,NA,1
"5487","cpn1988",2.41,1.07,2.2,"brand2","prod50","cat5",NA,NA,NA,NA,1
"5496","cpn1990",17.55,3.51,0.94,"brand3","prod114","cat5",NA,NA,NA,NA,1
"5498","cpn1991",8.29,1.38,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"5508","cpn1993",6.95,1.39,1.57,"brand26","prod17","cat5",NA,NA,NA,NA,1
"5538","cpn1994",5,5,1.57,"brand3","prod52","cat5",NA,NA,NA,NA,1
"5539","cpn1995",6.21,3.1,1.88,"brand3","prod40","cat1",NA,NA,NA,NA,1
"5559","cpn1996",17.78,2.96,0.94,"brand4","prod20","cat12",NA,NA,NA,NA,1
"5562","cpn1997",24.08,24.08,1.26,"brand3","prod125","cat5",NA,NA,NA,NA,1
"5583","cpn1998",5.93,0.68,1.57,"brand3","prod16","cat5",NA,NA,NA,NA,1
"5588","cpn1999",2.87,1.69,1.88,"brand3","prod28","cat3",NA,NA,NA,NA,1
"5591","cpn2000",11.44,1.43,0.94,"brand19","prod174","cat13",NA,NA,NA,NA,1
"5594","cpn2001",6.02,5.28,1.26,"brand3","prod87","cat12",NA,NA,NA,NA,1
"5599","cpn2002",6.02,2.41,1.57,"brand5","prod194","cat11",NA,NA,NA,NA,1
"5605","cpn2003",2.45,2.45,1.57,"brand2","prod104","cat8",NA,NA,NA,NA,1
"5607","cpn2004",3.98,1.32,6.28,"brand3","prod5","cat6",NA,NA,NA,NA,1
"5625","cpn2008",3.15,0.79,1.57,"brand3","prod16","cat5",NA,NA,NA,NA,1
"5639","cpn2009",6.58,1.95,1.57,"brand3","prod43","cat3",NA,NA,NA,NA,1
"5646","cpn2010",7.87,4.37,1.57,"brand3","prod114","cat5",NA,NA,NA,NA,1
"5661","cpn2012",4.82,2.46,1.57,"brand3","prod39","cat5",NA,NA,NA,NA,1
"5675","cpn2014",3.43,0.78,1.26,"brand2","prod80","cat5",NA,NA,NA,NA,1
"5676","cpn2015",2.69,1.07,1.57,"brand3","prod52","cat5",NA,NA,NA,NA,1
"5684","cpn2017",2.5,1,1.26,"brand3","prod130","cat6",NA,NA,NA,NA,1
"5685","cpn2018",2.55,0,0.63,"brand3","prod163","cat6",NA,NA,NA,NA,1
"5687","cpn2019",12.6,1.26,0.94,"brand2","prod26","cat3",NA,NA,NA,NA,1
"5691","cpn2020",3.47,1.51,1.57,"brand3","prod41","cat5",NA,NA,NA,NA,1
"5707","cpn2021",8.01,8.01,0.94,"brand2","prod40","cat1",NA,NA,NA,NA,1
"5715","cpn2023",6.3,2.8,1.57,"brand3","prod14","cat5",NA,NA,NA,NA,1
"5720","cpn2025",12.23,6.17,1.57,"brand3","prod109","cat12",NA,NA,NA,NA,1
"5724","cpn2026",5.74,1.02,1.88,"brand3","prod27","cat5",NA,NA,NA,NA,1
"5734","cpn2027",4.12,1.65,1.26,"brand2","prod95","cat8",NA,NA,NA,NA,1
"5736","cpn2028",4.17,1.95,1.57,"brand3","prod94","cat5",NA,NA,NA,NA,1
"5740","cpn2029",3.61,1.12,1.26,"brand3","prod164","cat8",NA,NA,NA,NA,1
"5742","cpn2030",4.17,0.83,1.26,"brand3","prod54","cat13",NA,NA,NA,NA,1
"5744","cpn2031",4.58,1.41,1.57,"brand2","prod28","cat3",NA,NA,NA,NA,1
"5750","cpn2032",6.44,1.57,1.26,"brand11","prod98","cat10",NA,NA,NA,NA,1
"5751","cpn2033",2.73,0,1.88,"brand4","prod100","cat7",NA,NA,NA,NA,1
"5760","cpn2035",17.55,0.72,0.94,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5774","cpn2036",2.64,2.64,0.63,"brand3","prod60","cat5",NA,NA,NA,NA,1
"5775","cpn2037",3.33,0.97,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5784","cpn2038",4.17,3.33,1.26,"brand3","prod12","cat5",NA,NA,NA,NA,1
"5787","cpn2039",3.52,2.27,0.63,"brand3","prod114","cat5",NA,NA,NA,NA,1
"5790","cpn2040",3.43,0,2.2,"brand2","prod75","cat5",NA,NA,NA,NA,1
"5792","cpn2041",6.07,6.07,1.26,"brand3","prod101","cat8",NA,NA,NA,NA,1
"5809","cpn2043",2.32,1.16,1.26,"brand2","prod185","cat8",NA,NA,NA,NA,1
"5814","cpn2044",9.22,1.92,1.57,"brand3","prod23","cat13",NA,NA,NA,NA,1
"5817","cpn2045",4.45,3.08,1.88,"brand2","prod114","cat5",NA,NA,NA,NA,1
"5843","cpn2046",3.43,2.14,1.26,"brand3","prod44","cat5",NA,NA,NA,NA,1
"5844","cpn2047",3.43,2.37,1.26,"brand2","prod63","cat5",NA,NA,NA,NA,1
"5859","cpn2049",4.58,0.54,1.26,"brand2","prod9","cat5",NA,NA,NA,NA,1
"5868","cpn2051",4.17,1.73,0.94,"brand3","prod157","cat5",NA,NA,NA,NA,1
"5873","cpn2052",3.98,0.8,1.26,"brand11","prod66","cat11",NA,NA,NA,NA,1
"5874","cpn2053",4.86,0,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5886","cpn2055",9.22,4.26,1.26,"brand3","prod114","cat5",NA,NA,NA,NA,1
"5892","cpn2057",2.5,0.06,1.57,"brand3","prod112","cat21",NA,NA,NA,NA,1
"5922","cpn2062",4.26,0.85,1.88,"brand2","prod19","cat5",NA,NA,NA,NA,1
"5923","cpn2063",3.66,0.71,3.14,"brand3","prod115","cat13",NA,NA,NA,NA,1
"5930","cpn2064",7.87,3.66,1.26,"brand3","prod114","cat5",NA,NA,NA,NA,1
"5956","cpn2068",5.51,4.58,0.94,"brand3","prod51","cat8",NA,NA,NA,NA,1
"5978","cpn2070",6.02,1.2,1.57,"brand2","prod2","cat3",NA,NA,NA,NA,1
"5985","cpn2071",2.69,3.72,1.88,"brand3","prod56","cat5",NA,NA,NA,NA,1
"5988","cpn2072",2.73,0.68,1.57,"brand3","prod34","cat5",NA,NA,NA,NA,1
"5994","cpn2073",5.74,1.15,0.94,"brand3","prod116","cat6",NA,NA,NA,NA,1
"6001","cpn2075",2.64,0.53,0.94,"brand3","prod124","cat8",NA,NA,NA,NA,1
"6003","cpn2076",4.17,4.17,1.57,"brand3","prod39","cat5",NA,NA,NA,NA,1
"6012","cpn2077",2.5,8.34,1.57,"brand2","prod56","cat5",NA,NA,NA,NA,1
"6014","cpn2078",3.89,1.96,0.63,"brand3","prod87","cat12",NA,NA,NA,NA,1
"6015","cpn2079",7.36,5.25,1.57,"brand2","prod65","cat13",NA,NA,NA,NA,1
"6033","cpn2080",5.93,2.96,1.57,"brand3","prod39","cat5",NA,NA,NA,NA,1
"6035","cpn2081",3.89,0.65,1.88,"brand2","prod11","cat3",NA,NA,NA,NA,1
"6039","cpn2082",4.35,3.34,1.88,"brand3","prod122","cat21",NA,NA,NA,NA,1
"6042","cpn2083",11.48,0.29,1.57,"brand3","prod23","cat13",NA,NA,NA,NA,1
"6057","cpn2084",3.52,0.94,1.57,"brand3","prod73","cat5",NA,NA,NA,NA,1
"6067","cpn2086",5.19,1.79,1.26,"brand11","prod178","cat11",NA,NA,NA,NA,1
"6068","cpn2087",2.5,0,1.88,"brand2","prod146","cat13",NA,NA,NA,NA,1
"6069","cpn2088",8.98,11.98,0.94,"brand3","prod53","cat6",NA,NA,NA,NA,1
"6074","cpn2091",2.69,0.67,1.57,"brand4","prod118","cat11",NA,NA,NA,NA,1
"6081","cpn2092",7.32,1.46,1.57,"brand3","prod41","cat5",NA,NA,NA,NA,1
"6098","cpn2094",5.37,1.57,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"6103","cpn2096",6.9,5.52,1.57,"brand2","prod40","cat1",NA,NA,NA,NA,1
"6105","cpn2097",11.02,2.2,1.26,"brand3","prod41","cat5",NA,NA,NA,NA,1
"6136","cpn2100",6.02,6.02,1.26,"brand4","prod32","cat11",NA,NA,NA,NA,1
"6150","cpn2102",2.69,1.07,1.26,"brand3","prod52","cat5",NA,NA,NA,NA,1
"6155","cpn2103",2.32,1.54,2.51,"brand2","prod86","cat3",NA,NA,NA,NA,1
"6158","cpn2105",22.97,2.87,1.57,"brand3","prod169","cat20",NA,NA,NA,NA,1
"6159","cpn2106",4.35,0,3.14,"brand2","prod202","cat20",NA,NA,NA,NA,1
"6164","cpn2107",13.85,4.94,1.26,"brand3","prod114","cat5",NA,NA,NA,NA,1
"6174","cpn2108",5.93,2.96,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"6179","cpn2109",3.66,0.94,0.94,"brand3","prod124","cat8",NA,NA,NA,NA,1
"6190","cpn2110",3.52,2.34,1.26,"brand17","prod108","cat23",NA,NA,NA,NA,1
"6192","cpn2111",4.26,2.03,1.26,"brand3","prod103","cat5",NA,NA,NA,NA,1
"6204","cpn2113",9.73,1.62,1.57,"brand3","prod145","cat12",NA,NA,NA,NA,1
"6210","cpn2114",3.52,0.82,1.88,"brand3","prod103","cat5",NA,NA,NA,NA,1
"6231","cpn2118",5.51,1.1,0.94,"brand3","prod3","cat5",NA,NA,NA,NA,1
"6252","cpn2120",2.32,0.46,1.57,"brand3","prod58","cat5",NA,NA,NA,NA,1
